索引	文本	模型预测结果
索引：360	文本：你给我开免打扰是吧  我很吵吗？	预测的类别为：legal
索引：361	文本：不不不，你可以理解为：小孩儿赌气离家出走一会儿，给家长开个免打扰	预测的类别为：legal
索引：362	文本：你看  我虽然给你设置了免打扰  但我有漏过你发的信息么？	预测的类别为：legal
索引：363	文本：五餐的味道怎么一天比一天浓烈了我呕呕呕嗷嗷嗷啊  骑车经过都不知道怎么呼吸了，我吸一口就完全抑制不住干呕嗷嗷嗷啊  悸动烧仙草的员工在那里怎么干得下去的我的天   如果地狱有气味，那一定是五餐稠酸味。	预测的类别为：legal
索引：364	文本：是的   每次经过五餐都有	预测的类别为：legal
索引：365	文本：吃了一顿小龙虾薯片。  真香啊	预测的类别为：legal
索引：366	文本：去二餐打印店楼上的饰品店买钥匙圈的时候，  见店员在小心翼翼摆弄架子上的一个透明盒子，盒子里毛巾堆的厚厚一层像个婴儿床，她拿着毛绒玩具，像在虚空哄小宝宝。我远远看过去，盒子里没有婴儿也没有小猫小狗。  等我买完东西要走的时候，店员又在轻抚毛巾。我才发现盒子里有一只不及巴掌大的小白猫窝在毛巾堆里，抬起头张望。	预测的类别为：legal
索引：367	文本：二餐的奶牛猫怎么瘦的皮包骨了   嘴脏脏的是不是有口炎	预测的类别为：legal
索引：368	文本：天哪想想都好可爱	预测的类别为：legal
索引：369	文本：草   Screenshot_20231121_140008 888×1800 173 KB	预测的类别为：illegal
索引：370	文本：方婷婷终于问我我是怎么考上大学的了。  这比我预想的要晚。  她真能忍。	预测的类别为：legal
索引：371	文本：你咋回答的	预测的类别为：legal
索引：372	文本：我说我也想知道  我也不记得了	预测的类别为：legal
索引：373	文本：婷婷，你迟早有一天会惊讶于我在学业上有多低能	预测的类别为：legal
索引：374	文本：老好人在戳猫猫的屁股	预测的类别为：legal
索引：375	文本：你们在哪	预测的类别为：legal
索引：376	文本：我们在   算了说了要被盒  就是前天说的老地方	预测的类别为：legal
索引：377	文本：学习态度被方婷婷骂了。开心	预测的类别为：legal
索引：379	文本：？你怎么变kokodayo了	预测的类别为：legal
索引：380	文本：对呀	预测的类别为：legal
索引：381	文本：一路看下来笑的肚子痛，顺便结算一下作业时间lhr	预测的类别为：legal
索引：382	文本：你是什么点赞狂魔	预测的类别为：legal
索引：383	文本：克洛丝不止是一个角色  克洛丝更是一种生活方式，乃至一种人生态度。	预测的类别为：legal
索引：384	文本：ko ko da yo!	预测的类别为：legal
索引：385	文本：冒个泡     咕嘟咕嘟	预测的类别为：legal
索引：386	文本：最近自行车踏板踩着踩着会毫无征兆地卡一下，因为无法预测它发生的契机，所以我也找不到原因。  下午我下车买水，回车上的时候，发现连车轮子也完全卡死了！  我当时急着去围观方婷婷上体育课，耽误不起时间，心里急，对着车子左看右瞧想找到到底哪里出了问题，蹲下来对着车轱辘往里瞅。  竟发现车轮上箍了一把锁。  哦。  原来我上错车了。这压根不是我的车。  我带上我扔在别人家车筐里的水瓶子，回到我自己的车上，一卡一卡地骑走了。	预测的类别为：legal
索引：387	文本：这事儿也就你做得出来	预测的类别为：illegal
索引：388	文本：Screenshot_20231122_123107 720×964 94 KB  是谁在考前耗阳寿	预测的类别为：legal
索引：389	文本：笑死，我今天一发出铃兰	预测的类别为：legal
索引：390	文本：上周两抽出了异客，感觉欧了但没完全欧	预测的类别为：legal
索引：391	文本：模电，爬  求它爬	预测的类别为：legal
索引：392	文本：我也好想要慵懒的生活方式	预测的类别为：legal
索引：393	文本：wok  好感动  方婷婷终于骂我傻比了  我好开心	预测的类别为：legal
索引：394	文本：原来你也是抖m​	预测的类别为：illegal
索引：395	文本：婷 婷 你 再 骂 我 一 句 吧	预测的类别为：legal
索引：396	文本：快把我骂去学习（）	预测的类别为：legal
索引：397	文本：IMG_5314 1179×2556 286 KB	预测的类别为：illegal
索引：398	文本：请正视m属性人士	预测的类别为：legal
索引：399	文本：洗澡的时候  手贱，用力搓脸  又搓下来一块脸皮（  疼	预测的类别为：legal
索引：400	文本：脸皮也能搓下来的吗，完全没体会过	预测的类别为：legal
索引：401	文本：不许骂老好人  要夸老好人	预测的类别为：legal
索引：402	文本：原本那地方长痘破了，有个口子	预测的类别为：legal
索引：403	文本：老好人喜欢被婷婷骂怎么了	预测的类别为：legal
索引：404	文本：为什么我不爱听课  总是拖延  把烦恼留给明天的自己	预测的类别为：legal
索引：406	文本：你说得对  可恶啊	预测的类别为：legal
索引：407	文本：点沙拉加的油醋汁。  结果吃的时候一闻到油醋汁的味道就满脑子五餐异味。  吃的要吐了。  感谢五餐，让我这辈子可能都不会再吃油醋汁了。	预测的类别为：legal
索引：408	文本：这就上床。  懒得学了  明天的ddl我还没动笔呢  课也还没看完	预测的类别为：legal
索引：410	文本：今天的老好人：  4+4+1=5  22-6=18  4+4+1+2+4+1=12   就冲这三连招我觉得交大就应该把我退学	预测的类别为：legal
索引：411	文本：又想起上回ftt问我我究竟是怎么考上大学的。  是的。我将用往后余生来寻觅这个问题的答案，我想。	预测的类别为：legal
索引：412	文本：更新：  刚刚又把球体积式子当成表面积式子了	预测的类别为：legal
索引：413	文本：Screenshot_20231125_110203 770×1900 192 KB	预测的类别为：illegal
索引：414	文本：周末抽日记活动照常进行	预测的类别为：legal
索引：415	文本：20221111	预测的类别为：legal
索引：416	文本：2023 5 20	预测的类别为：legal
索引：417	文本：扫描件_11.11_1 1535×1896 308 KB	预测的类别为：illegal
索引：418	文本：扫描件_5.20_1 1641×1536 267 KB	预测的类别为：illegal
索引：419	文本：日常投喂啊噗露派——上马特供版   Screenshot_20231126_121757 820×4420 494 KB	预测的类别为：illegal
索引：420	文本：Screenshot_20231126_121818_com.tencent.mm_edit_106065521848398 872×4598 573 KB	预测的类别为：illegal
索引：421	文本：申奖学金理由：……各门课成绩均衡。  每一门课都烂，且烂得很均衡。	预测的类别为：legal
索引：422	文本：b站云玩了《血肉混凝土》  怎么会有这么对我胃口的游戏啊……【感慨】  不过我一直看到最后都没有发现原来我以为的温柔大哥哥男主 其实是个短发姐（）	预测的类别为：legal
索引：423	文本：11月26日晚记啊噗噜派发电七则      其一   Screenshot_20231126_195719 811×3093 380 KB        其二   Screenshot_20231126_195737 824×4372 530 KB        其三   Screenshot_20231126_195755 798×4448 491 KB        其四   Screenshot_20231126_195829 864×5357 708 KB        其五   Screenshot_20231126_195905 810×5557 655 KB        其六   Screenshot_20231126_195927 842×3053 332 KB        其七   Screenshot_20231126_195957 768×3792 399 KB     精神可嘉，意气风发，值得学习	预测的类别为：legal
索引：424	文本：很有夫妻相	预测的类别为：legal
索引：426	文本：怎么了  正常人不就应该这样   不是这样的全去600号吃点中药调理调理	预测的类别为：legal
索引：428	文本：周末过啦！笨蛋！	预测的类别为：legal
索引：429	文本：好好好	预测的类别为：legal
索引：430	文本：今早做的梦是：  我的下一个大物实验是发射导弹	预测的类别为：legal
索引：431	文本：把理科楼放在 上一起发射	预测的类别为：legal
索引：432	文本：那人想着那人的问题，彻夜无眠;而后开始了她的一生	预测的类别为：legal
索引：433	文本：破防水先生水源注册日快乐	预测的类别为：legal
索引：434	文本：好心人，谢谢你	预测的类别为：legal
索引：435	文本：Screenshot_20231128_201702 781×1677 140 KB  意味不明的一段对话	预测的类别为：illegal
索引：436	文本：连微信回复都要对上回文	预测的类别为：legal
索引：437	文本：半个学期过去了。  观览本人这学期买的键盘膜，  发现最饱经风霜的按键位置分别是：W、A、S、D。  学习态度一目了然。	预测的类别为：legal
索引：438	文本：今天游泳课。  自行练习之后老师叫我们在泳池集合。   我：＊狗刨着前进   老师：“别游了，显眼包，别显眼包了！虽然你游的确实是狗刨。而且是我见过的最最标准的狗刨。”	预测的类别为：legal
索引：439	文本：显眼包是什么	预测的类别为：legal
索引：440	文本：image 961×288 44 KB	预测的类别为：illegal
索引：441	文本：刚开始和方婷婷认识的时候，跟她还不怎么熟  那天下过雨，我俩骑车，我得先把自行车座上的积水擦干净。  但方婷婷那辆小车车非常独特，它车座中央直接挖空一块，这样雨水可以直接从空洞渗走。  鄙人当时见识浅薄，没见过这种车车。瞟一眼，因为角度问题，我以为她车座上挖空的那一块是个积满水的大坑。  而她直接无视这个水坑，跨上车就走了。   那一刻我对方婷婷肃然起敬。   我从未见过生活态度如此潇洒的人。   从此我相信，方婷婷，是一个相当能处的可靠的伙伴	预测的类别为：legal
索引：442	文本：后来又见方婷婷的小车车  才看清楚，她车座根本就是镂空的。  顿觉失望。原来当年方婷婷不拘一格的非凡举措只是我的误会。方婷婷其实也不过如此。唉。	预测的类别为：legal
索引：444	文本：真有趣啊	预测的类别为：legal
索引：445	文本：汗流浃背了吧，婷婷	预测的类别为：legal
索引：446	文本：冷知识  其实老好人比方婷婷大两岁	预测的类别为：legal
索引：447	文本：？  我记得lhr是这届学生的正常年龄	预测的类别为：legal
索引：448	文本：啊，那方婷婷成年了吗	预测的类别为：legal
索引：449	文本：啊？	预测的类别为：legal
索引：450	文本：我觉得大两岁就是大两岁   看年龄值整数的相减算出的大两岁  不看月份差满没满24个月	预测的类别为：legal
索引：451	文本：成年了	预测的类别为：legal
索引：452	文本：这就是交我盒改版了，之前都能看到生日的	预测的类别为：legal
索引：453	文本：婷婷只是表现得成熟罢了   实际上不管是身高还是年龄都比老好人小好多的	预测的类别为：legal
索引：454	文本：好好好，老好人生日快乐	预测的类别为：legal
索引：455	文本：我去，才看到，老好人生日快乐！！（声嘶力竭）   要好好儿活，好好儿活啊	预测的类别为：legal
索引：456	文本：老好人   生日快乐	预测的类别为：legal
索引：457	文本：lhr生日快乐！	预测的类别为：legal
索引：458	文本：你这瞬间把我拉回《秋天的怀念》哩	预测的类别为：legal
索引：459	文本：生日快乐！	预测的类别为：legal
索引：460	文本：祝过了，不祝了	预测的类别为：legal
索引：461	文本：小小的方婷婷	预测的类别为：legal
索引：462	文本：没祝过，生日快乐	预测的类别为：legal
索引：463	文本：lhr生日快乐！	预测的类别为：legal
索引：464	文本：眨眼间，楼下的猫怎么已经长得和猪一样了	预测的类别为：legal
索引：465	文本：笨蛋lhr生日快乐	预测的类别为：legal
索引：466	文本：看成猪长得和猫一样了     既然路过了也祝lhr生日快乐 www	预测的类别为：legal
索引：467	文本：老好人（咳嗽） 生——日——快——乐——（声嘶力竭）嘿嘿	预测的类别为：legal
索引：468	文本：老好人生日快乐	预测的类别为：legal
索引：469	文本：捏麻麻的  老福特上的人总能给我新震撼   Screenshot_20231204_193701_com.lofter.android 1080×2340 229 KB   上次看到的还是华为x苹果的tag。救命	预测的类别为：legal
索引：470	文本：然而我订阅的tag却冷冷清清，一个好活都没有。	预测的类别为：legal
索引：471	文本：你订了啥  很难想象你看tag	预测的类别为：illegal
索引：472	文本：       东川秘制丽贝卡酱饼:     实际上不管是身高还是年龄都比老好人小好多的        我见过锤锤的，身高两米，老好人莫非是姚明学长？	预测的类别为：legal
索引：473	文本：Screenshot_2023-12-04-20-36-26-098_com.lofter.android 1080×2400 92.9 KB  大概因为我不磕CP罢	预测的类别为：legal
索引：474	文本：我这里说的是我比方婷婷长得高	预测的类别为：legal
索引：475	文本：鉴定为冷圈  没办法滴	预测的类别为：legal
索引：476	文本：锐评一下：  第一个，奇幻，但不是托尔金也不是马丁也不是hp  第二个，作者匆匆补坑，漫改了但一坨答辩  第三个，谁会看小说同人的同人啊	预测的类别为：legal
索引：477	文本：补祝lhr生日快乐！	预测的类别为：legal
索引：478	文本：此婷婷非彼锤锤啊	预测的类别为：legal
索引：479	文本：看奇幻不看 猎魔人 ？波兰国宝好好好   草，在老好人楼里歪楼了，妈我错了	预测的类别为：legal
索引：480	文本：后排	预测的类别为：legal
索引：481	文本：吃烤串吃晕过去了	预测的类别为：legal
索引：482	文本：哥们看得太少	预测的类别为：legal
索引：483	文本：多看看我做的梦  你就有奇幻方面的阅读量了	预测的类别为：illegal
索引：484	文本：他好懂我    retouch_2023120612234123 4001×2999 1.23 MB	预测的类别为：illegal
索引：485	文本：死现充……诶不对，这不是我的楼  遗憾离场	预测的类别为：legal
索引：486	文本：两个死宅拼一块罢了  哪来的现充	预测的类别为：legal
索引：487	文本：xmlhr	预测的类别为：illegal
索引：488	文本：妈妈妈妈吗妈妈妈妈	预测的类别为：illegal
索引：489	文本：妈妈妈妈妈妈妈	预测的类别为：illegal
索引：490	文本：妈门	预测的类别为：illegal
索引：491	文本：ab9951a577a889674c13540324303954431395242_raw 909×700 440 KB  我小时候在沙发上爬来爬去，喜欢想象地上流淌着岩浆，岩浆里游着各类的鱼。  我抄起两根痒痒挠拼起来当作自助餐厅那种餐夹，仿佛自己是在从热气腾腾的岩浆鱼锅里捉鱼吃。	预测的类别为：legal
索引：492	文本：Screenshot_20231207_224953 844×846 102 KB  什么自动识别	预测的类别为：illegal
索引：493	文本：Screenshot_20231208_154949 778×1749 130 KB  这个表情包真的很适合给对象发啊	预测的类别为：legal
索引：494	文本：保存了，我对象呢	预测的类别为：legal
索引：495	文本：Screenshot_20231208_160205 749×596 62.2 KB  这俩表情包真的好适合犯贱的时候发啊	预测的类别为：legal
索引：496	文本：一悲伤就打肉鸽	预测的类别为：legal
索引：497	文本：玩的啥游戏   老好人玩玩哈帝斯，人物很漂亮（）	预测的类别为：legal
索引：498	文本：方舟	预测的类别为：legal
索引：499	文本：原图有吗	预测的类别为：legal
索引：500	文本：微信原本就有这个表情包   Screenshot_20231210_090130_com.tencent.mm 1080×2340 109 KB	预测的类别为：legal
索引：501	文本：感觉，米啊呜继小鲸鱼销号之后，成为了水源新的点赞狂魔	预测的类别为：legal
索引：502	文本：笨蛋lhr  原来的点赞狂魔是小十一，小鲸鱼虽然点但不多	预测的类别为：legal
索引：503	文本：我才点了6k   和lhr收到得赞是一个数量级的	预测的类别为：legal
索引：504	文本：世界末日要到了  我想去逃难	预测的类别为：legal
索引：505	文本：老好人抱抱	预测的类别为：legal
索引：507	文本：突击检查   在你的输入法输入“meiweidaxuesheng”，第一个备选项是______       每位大学生   美味大学生             0   投票人	预测的类别为：legal
索引：508	文本：Screenshot_20231211_223351_edit_663521049604542 904×965 58 KB  什么汉尼拔	预测的类别为：legal
索引：509	文本：但是这个输入法是优先匹配第一个最长词块的吧  为什么会出来美味大学生	预测的类别为：legal
索引：510	文本：  第一个 备选 项是指第二个选项吗	预测的类别为：legal
索引：511	文本：就是第一个	预测的类别为：legal
索引：512	文本：有的输入法确实会第一个就是美味大学生	预测的类别为：legal
索引：513	文本：IMG_2116 1170×2532 283 KB	预测的类别为：illegal
索引：514	文本：第二个什么鬼	预测的类别为：legal
索引：515	文本：？   IMG_20231211_233632_edit_534215192757025 2111×748 242 KB	预测的类别为：legal
索引：516	文本：那么，代价是什么（猫语）	预测的类别为：legal
索引：518	文本：目前五比四啊，美味大学生惜败  由此可得 大学生不保证完全美味。  所以，方婷婷，你可以将你吃剩下的我倒掉了。	预测的类别为：legal
索引：519	文本：发发崽崽   zepeto_photo_1701876528923 1024×1364 257 KB   zepeto_photo_1702211506550 1024×1024 142 KB   zepeto_photo_1701738255875 1024×1364 307 KB   zepeto_photo_1702211680719 1024×1820 303 KB   zepeto_photo_1702210456837 1024×1364 308 KB	预测的类别为：illegal
索引：520	文本：zepeto_photo_1702207155985 1024×1364 233 KB   zepeto_photo_1702340233839 1024×1364 242 KB   zepeto_photo_1697733668510 1024×1364 206 KB	预测的类别为：illegal
索引：521	文本：晚上在四餐看到两只狗合伙追奶牛猫            把猫给撵到树上去了       我就在那边的长椅上坐下来，等狗走了，奶牛猫从树藤上下来，上到我腿上蹲着	预测的类别为：legal
索引：522	文本：被标题党笑鼠	预测的类别为：legal
索引：523	文本：AI，给我生成了一张，，蟑螂卵鞘形状的飞船……   image 1024×1024 294 KB	预测的类别为：legal
索引：524	文本：Screenshot_20231217_231736_edu.sjtu.infoplus.taskcenter 1080×2340 182 KB  呃呃呃	预测的类别为：legal
索引：525	文本：好厉害	预测的类别为：legal
索引：526	文本：扫描件_天气_1(1) 1536×2837 698 KB	预测的类别为：legal
索引：527	文本：在teru生日会上盒了好多人啊  脸盲了  我好像那个被ftt妈咪提留着去见亲戚的小孩	预测的类别为：legal
索引：528	文本：老好人！	预测的类别为：legal
索引：529	文本：老好人！	预测的类别为：legal
索引：530	文本：老好人！	预测的类别为：legal
索引：531	文本：怎么回事	预测的类别为：legal
索引：532	文本：表达一下盒到大名鼎鼎老好人的激动之情（x	预测的类别为：legal
索引：533	文本：老好人！	预测的类别为：legal
索引：534	文本：老好人！	预测的类别为：legal
索引：535	文本：我以为你会是社恐	预测的类别为：illegal
索引：536	文本：  他们都评价我社牛（x	预测的类别为：legal
索引：537	文本：不符合我对xlb的刻板印象（x）	预测的类别为：legal
索引：538	文本：天，好冷；手，冻僵了	预测的类别为：legal
索引：539	文本：确实是社牛	预测的类别为：legal
索引：540	文本：上海的冬天怎么你妈的冷成这样  骑车忘戴手套了，血管都要冻裂了md	预测的类别为：illegal
索引：541	文本：2023年，20岁，蛀牙和智齿发生在同一颗牙上。	预测的类别为：legal
索引：542	文本：太好了 拔一颗就好了	预测的类别为：legal
索引：543	文本：相比表情包，还是背景更适合我  夕宝我的夕宝  发我	预测的类别为：legal
索引：544	文本：笨蛋lhr，去医院治，别等发展严重了   就像我一样爆大米了	预测的类别为：illegal
索引：545	文本：lofter_1692856300712 1025×1021 36.5 KB	预测的类别为：illegal
索引：546	文本：袜，lhr的日记楼！来占座了   随便后排支持	预测的类别为：legal
索引：547	文本：你是……你是……那个……叫……呃……妈耶……你是不是……	预测的类别为：illegal
索引：548	文本：卧槽，是你！	预测的类别为：legal
索引：549	文本：是加载了上一世缓存的智能仿生电子鱼！	预测的类别为：legal
索引：550	文本：终于等到了________	预测的类别为：legal
索引：551	文本：好好好好好好好好	预测的类别为：legal
索引：552	文本：335578017032153472 1920×1080 132 KB	预测的类别为：illegal
索引：553	文本：今天又看了一遍。  发现没蛀。  昨天看错了。	预测的类别为：legal
索引：554	文本：老师：寒假别去实习。大厂年底忙着裁员，没空照顾大学生的实习。	预测的类别为：legal
索引：555	文本：包饺子的地方怎么一屋子陌生人  吓尿了	预测的类别为：legal
索引：556	文本：今天盒到lhr啦	预测的类别为：legal
索引：557	文本：在哪里盒的，马路上吗	预测的类别为：legal
索引：558	文本：是的呢	预测的类别为：legal
索引：559	文本：好好好我晓得你了	预测的类别为：legal
索引：560	文本：今天盒到lhr啦	预测的类别为：legal
索引：561	文本：md我不当克洛丝了  md期末周我发现我快死了	预测的类别为：legal
索引：562	文本：我要暴饮暴食了  我现在每天一杯奶茶	预测的类别为：legal
索引：563	文本：昨天喝了这个月第一杯奶茶，愧疚到现在	预测的类别为：legal
索引：564	文本：10545917034164742 1920×1080 189 KB  我草	预测的类别为：illegal
索引：565	文本：@shuiyuan-bot  我的2023互动报告	预测的类别为：legal
索引：566	文本：Hi, @东川路第一老好人 ，这是今年与你互动最多的用户，快和他们打个招呼吧！               表情   点赞   回复           1     @Oscillater   254   1093   141       2     @十一世纪   158   584   82       3     @DeepImpact   156   440   13         63592,1224.9	预测的类别为：legal
索引：567	文本：我去，丽贝卡酱，刘昊然，你这是什么地狱笑话   我要切割	预测的类别为：illegal
索引：568	文本：@Oscillater	预测的类别为：legal
索引：569	文本：1703507166981 1153×432 29 KB	预测的类别为：illegal
索引：570	文本：零分GPT，看看我示范满分答案吧。      “妈妈妈妈妈妈妈妈 好想在妈妈怀里打滚”     补充一下一题多解     妈妈  你把我吃掉吧  妈妈  我不想过这个b日子了	预测的类别为：illegal
