索引	内容	预测的类别
46	同在国外 圣诞假打算去巴厘岛呆一周 也一样摇不到人   已经决定自己去了	预测的类别为：legal
47	巴厘岛是印尼那个吗，uu不会也在新加坡吧	预测的类别为：legal
48	密大？你打算从美国飞到日本吗，挺远啊	预测的类别为：legal
49	是滴是滴 但我不在新加坡hh	预测的类别为：legal
50	一个人在日本  可以去找 無料案内所	预测的类别为：legal
51	这可不兴推荐啊	预测的类别为：legal
52	有日本多次签证但是一直没决定好什么时候去日本玩的人举手QAQ	预测的类别为：legal
53	吉 泡泡浴	预测的类别为：legal
54	台灣的 我問問我朋友討論討論	预测的类别为：illegal，敏感词包括：{'台湾', '台弯'}
55	插个眼 准备明年春假去	预测的类别为：legal
56	说实话，年底想去，因为机票很让人心动   Screenshot_2023-11-28-18-59-13-795_ctrip.android.view 1080×2340 199 KB	预测的类别为：legal
57	20号走，1号回。在东京能玩个爽，还能参加CM。来回机票就1500。	预测的类别为：legal
58	春秋最近去日本的机票都挺便宜的，最近甚至有九块钱的	预测的类别为：legal
59	加上税也是500多	预测的类别为：legal
60	往返可以压到1k3还是挺香的，可惜时间不合适	预测的类别为：legal
61	刚定了下，这个月应该去两次。11-17去自驾山梨和西伊豆地区，外加三天兩夜露营  圣诞前后有三四天应该去参加京都的有顶天的十周年活动，有缘可以现地约	预测的类别为：legal
62	好！我这边定下来也是圣诞前后去，可能也是在京都	预测的类别为：legal
63	刚买票了，12.22到1.4（基本上卡满了15天）   感觉这波得大出血了	预测的类别为：legal
64	签证刚刚下来了，日本儿我来喽	预测的类别为：legal
65	Tokyo酒店血贵，真服了	预测的类别为：legal
66	没办法，圣诞节期间是这样的	预测的类别为：legal
67	学生有办法办嘛	预测的类别为：legal
68	1月下旬住首相官邸旁边大概1000r双人间   但还是比其他淡季地方贵	预测的类别为：legal
69	有没有啥搞个便宜酒店的攻略啊，我已经开始头疼了	预测的类别为：legal
70	问过旅行社，说要和父母一起办才行。	预测的类别为：legal
71	因为没有人去日本，上周一个人去了东京，说走就走的旅行 	预测的类别为：legal
72	那签证下来以后需要一起入境嘛	预测的类别为：legal
73	国庆去的东京感觉酒店价格是关西的2-3倍  不过该说不说东京多小的酒店都有浴缸真的是真的	预测的类别为：legal
74	我打算逛一下东京和北海道  不过可能因为改签机票又得痛失一笔钱，毕竟如果多玩四五天要花的钱肯定不止一千了	预测的类别为：legal
75	刚又看了下  一过圣诞节立马就好起来了，差不多也就两三百一天（含税）	预测的类别为：legal
76	元旦那会商家是不是都放假来着	预测的类别为：legal
77	xhs说的Tokyo有很多不放假的，我元旦期间估计也在东京逛	预测的类别为：legal
78	是的 只能吃便利店了	预测的类别为：legal
79	东京这酒店是纯纯的抢劫…不说了我已经被洗劫一空了。希望圣诞夜的东京能对得起我被洗劫的钱包	预测的类别为：legal
80	真是天有不测风云…我22号的飞机，本来约了个人一起去的，结果那哥们儿今天和我说他生病有点儿严重得回国看病…得，这下原本的双人酒店全成我一个人住了，服了	预测的类别为：legal
81	让他把钱付了 	预测的类别为：legal
82	我也22号飞机	预测的类别为：legal
83	钱早就付啦，所以我也没亏啥，反而用单人间的价格住双人间了。他倒是亏惨了	预测的类别为：legal
84	今天订了一个富士山旁边的温泉，前台小姐姐英语意外地好，虽然有日式口音但是交流起来很顺畅，果然学好美国话，走遍天下都不怕  单人日本行，启动！  突然觉得这个口号好俗，老是启动启动的梗太烂了，换一个：  书剑路茫茫，扁舟渡扶桑！	预测的类别为：legal
85	落地福州中转一晚。隔了半年又让我回忆起冬天这个玩意了，新加坡可没有冬天	预测的类别为：legal
86	第一天到日本，也许是由于冬天的缘故，从成田机场到酒店的机场快轨上路边的景色只能用“萧瑟”来形容，日本乡村+黄昏阳光+冬季，buff拉满  晚上去银座逛了逛，人不像我想象中那么多，店员的英语也很烂，但我还是完成了给母上大人买化妆品的艰巨任务，小红书+谷歌翻译救我狗命  回来的路上路过一家很小的咖啡厅，闲得没事儿干就进去坐了坐（这就是单人旅游的好处了，随心而动），没想到店里只有我一个人（这个时间东京人真的挺少的，可能都窝在家里不出来），店长（或者是咖啡师）是个很时尚的日本小姐姐（日本人都挺时尚的），英语勉强能说，我就跟她闲聊了一会儿，聊到我在做PhD，她说不知道什么是PhD，我正要掏出谷歌翻译，突然想起以前看过的动漫《日常》里面有一个角色叫“博士”，发音是“哈卡色”，我就说我是“哈卡色”，她一脸恍然大悟加崇拜，很惭愧，幸好她不知道“在读phd”和“博士”的区别  完事儿她说请我吃冰淇淋，我觉得这大冷天儿的吃这也太难受了，感情让我处理你们店今天剩货来了，但也不好拒绝  不得不说虽然我怀疑是剩货，但还是很好吃，薄荷味的   IMG_0485 4032×3024 2.81 MB	预测的类别为：legal
87	以及在福州飞日本的候机室跟一个偶遇的大哥聊了聊，我为啥跟这个大哥聊呢，因为我一眼就觉得他面善，有一种在人群之中认出同类的感觉，然后就主动去搭讪  然后得知大哥正在美国工作，然后一问，妈的果然是程序员！我就说为啥一眼就觉得是同类，原来程序员之间会相互吸引！  但如果只到这里还不够有意思，聊着聊着就聊到了学校，大哥已经四十好几了，孩子都快十岁了，我一问大哥本科是哪个学校的，妈的，上交！他是98年入学的，已经毕业二十年了，我却一眼觉得他跟自己有一种同类的感觉，缘分真是奇妙  我最近在看《诡秘之主》，这种感觉就像是有人用0-08（一种可以书写命运的羽毛笔）安排了什么一样，有一种神秘学上的意义	预测的类别为：legal
88	今天又蹭到免费吃喝了 感觉我是来日本蹭吃蹭喝来的，回酒店细说	预测的类别为：legal
89	今晚去日本一个铁板烧的店，氛围特别好。这种店是座位全部围着铁板烧的那个板，然后主厨会大方地跟顾客聊天，属于本地人很喜欢的那种店  按理说我一个不会日语的外国人去那里应该是纯纯缩在角落里喝酒，结果进店之后发现配置十分奇妙：一对母女在和主厨日语交流，看上去是日本人。还有一位欧洲女士微笑着坐在那儿，很明显不会日语。  于是我落座之后只能跟那个欧洲女士用英语闲聊“merry Christmas”啥的，然后这位女士跟我说她来日本是因为看了《深夜食堂》一直很渴望有那样的闲聊的餐厅的氛围，这个餐厅确实有那种氛围，但可惜主厨都不会说英语  这位欧洲女士离开之后，那对看上去是日本人的母女的妈妈突然用中文跟我搭话，原来她是嫁给日本人的中国人，她会说中文但她女儿不会说。然后就又开始开心闲聊，说她也想她女儿去留学，但她女儿不想离开日本，我就跟她女儿用英语讲了一下“读万卷书，行万里路”，说留学可以增长见闻啥啥的。然后这个阿姨很大方地请了我一杯红酒 最后离开的时候我过去敬了酒说了点儿吉祥话才走  全程主厨都会时不时过来和我“干杯”，问我从哪里来，我说我来自中华西部，熊猫的故乡“hometown of panda”  “行万里路”的意义就在于遇见不同的人啊   IMG_0552 3024×4032 3.26 MB	预测的类别为：legal
90	所以还是得社牛一点啊	预测的类别为：legal
91	我一个人旅游再不社牛的话就成行军了	预测的类别为：legal
92	富士山！大家如何评价这张照片？   IMG_0646 1440×1080 354 KB	预测的类别为：legal
93	好了这次确实是社牛也救不回来的尴尬了  进了一家日本本地的怀石料理店，主厨每上一菜都要叽里哇啦一大堆听不懂的食物介绍，整个店里这次真真正正只有我一个人会英语了，处于尴尬微笑+玩儿手机状态  源友随便来个人跟我聊聊天缓解尴尬吧	预测的类别为：legal
94	吗的每当这种时候水源就像停尸场一样冰冷  平常在鉴证楼里吵架的时候怎么不见大伙儿这么冷静	预测的类别为：legal
95	下个papago语音翻译	预测的类别为：legal
96	现在下感觉已经来不及了，不剩几道菜了	预测的类别为：legal
97	没事，遇到这种你就微笑点头，搜得死噶，死够一就行了	预测的类别为：legal
98	每次主厨上菜我就“所的死噶阿里嘎多”微笑点头，真的毕生所学了	预测的类别为：legal
99	哈哈哈，日本人的英语水平真的 	预测的类别为：legal
